date,homeTeamWin,homeTeam,homeTeamConf,homeTeamDiv,homeTeamDaysOff,homeTeamTotalWinPercent,homeTeamConfWinPercent,homeTeamHomeWinPercent,homeTeamLastFive,homeTeamLastTen,awayTeam,awayTeamConf,awayTeamDiv,awayTeamDaysOff,awayTeamTotalWinPercent,awayTeamConfWinPercent,awayTeamAwayWinPercent,awayTeamLastFive,awayTeamLastTen
1482472800,1,MEM,West,Southwest,2,612,687,611,2,6,HOU,West,Southwest,1,733,761,705,4,9
1486533600,1,GS,West,Pacific,4,843,818,880,4,8,CHI,East,Central,2,500,515,423,3,5
1486620000,0,CHA,East,Southeast,2,461,484,615,1,3,HOU,West,Southwest,1,690,709,620,3,5
1491454800,1,POR,West,Northwest,2,487,520,594,3,7,MIN,West,Northwest,2,402,382,297,3,3
1479276000,1,BOS,East,Atlantic,1,500,625,750,2,5,DAL,West,Southwest,2,222,166,166,2,2
1480917600,0,ATL,East,Southeast,2,476,615,666,0,1,OKC,West,Northwest,1,619,636,500,5,7
1482213600,1,CHA,East,Southeast,2,535,526,571,1,5,LAL,West,Pacific,2,366,315,294,1,1
1490590800,1,TOR,East,Atlantic,1,602,627,666,5,7,ORL,East,Southeast,3,369,409,361,3,4
1491282000,1,NY,East,Atlantic,2,376,416,459,2,3,CHI,East,Central,2,493,531,394,4,6
1477630800,1,BKN,East,Atlantic,2,0,0,0,0,0,IND,East,Central,2,1000,0,0,1,1
1478671200,1,ATL,East,Southeast,1,714,750,750,3,5,CHI,East,Central,1,571,571,333,2,4
1479880800,1,CLE,East,Central,4,833,818,875,4,8,POR,West,Northwest,0,500,538,444,1,5
1480312800,0,MEM,West,Southwest,2,647,700,625,4,8,CHA,East,Southeast,2,562,636,571,1,4
1481176800,0,UTA,West,Northwest,2,608,600,636,4,7,GS,West,Pacific,0,863,812,909,4,9
1483941600,0,CHI,East,Central,2,513,576,631,3,5,OKC,West,Northwest,2,578,571,444,2,6
1490590800,1,NY,East,Atlantic,1,369,409,470,0,2,DET,East,Central,3,465,444,305,1,3
1480226400,0,POR,West,Northwest,1,500,571,625,2,4,HOU,West,Southwest,1,625,666,600,4,7
1480399200,0,CHA,East,Southeast,0,588,636,555,2,4,DET,East,Central,2,444,444,111,2,4
1481263200,1,DAL,West,Southwest,2,190,166,300,1,2,IND,East,Central,1,500,416,300,3,5
1482213600,0,PHI,East,Atlantic,2,259,294,277,3,3,NO,West,Southwest,2,310,190,214,2,2
1482472800,1,CHA,East,Southeast,3,551,526,600,2,5,CHI,East,Central,1,500,555,428,1,3
1485324000,0,CHI,East,Central,1,500,533,608,3,5,ATL,East,Southeast,2,577,678,565,3,7
1489640400,1,CLE,East,Central,2,666,731,794,2,4,UTA,West,Northwest,0,632,581,606,4,7
1491109200,1,BKN,East,Atlantic,1,223,173,282,2,5,ATL,East,Southeast,1,513,565,500,2,2
1478844000,0,ORL,East,Southeast,2,375,333,500,3,3,UTA,West,Northwest,2,555,500,500,3,5
1480226400,1,DAL,West,Southwest,1,133,111,200,0,2,NO,West,Southwest,1,352,181,250,4,6
1482300000,1,CLE,East,Central,0,769,789,866,4,7,MIL,East,Central,0,500,500,400,2,5
1484546400,1,DEN,West,Northwest,4,394,391,421,1,3,ORL,East,Southeast,1,404,375,454,1,3
1484546400,0,PHO,West,Pacific,2,325,185,421,3,4,UTA,West,Northwest,2,619,615,550,4,7
1484978400,1,CHI,East,Central,1,477,517,590,2,5,SAC,West,Pacific,1,380,423,380,1,2
1486188000,0,MIN,West,Northwest,1,380,344,461,2,5,MEM,West,Southwest,1,576,656,518,3,5
1483336800,1,CLE,East,Central,2,781,791,894,4,8,NO,West,Southwest,2,400,250,266,4,6
1485928800,0,ORL,East,Southeast,3,380,392,347,1,3,IND,East,Central,3,531,500,304,3,6
1488088800,1,MIL,East,Central,1,446,447,482,3,4,PHO,West,Pacific,1,310,179,266,2,3
1490677200,0,HOU,West,Southwest,2,698,727,756,4,7,GS,West,Pacific,2,808,795,736,5,7
1490936400,0,MIA,East,Southeast,2,493,500,567,3,6,NY,East,Atlantic,2,373,413,282,1,2
1491282000,1,SAC,West,Pacific,3,389,404,394,3,4,DAL,West,Southwest,2,421,391,297,1,4
1485064800,1,DAL,West,Southwest,1,325,321,400,3,4,LAL,West,Pacific,1,340,285,217,1,4
1486188000,0,NY,East,Atlantic,3,431,437,541,2,4,CLE,East,Central,3,687,777,523,3,5
1489554000,1,BOS,East,Atlantic,3,626,692,709,2,5,MIN,West,Northwest,1,424,410,333,3,7
1477976400,1,MIN,West,Northwest,2,0,0,0,0,0,MEM,West,Southwest,2,666,1000,0,2,2
1488088800,0,DET,East,Central,2,482,470,620,3,7,BOS,East,Atlantic,1,637,685,566,3,7
1488607200,0,PHI,East,Atlantic,0,377,432,468,2,5,DET,East,Central,2,475,457,333,3,6
1489554000,0,SA,West,Southwest,2,787,763,806,4,9,POR,West,Northwest,1,439,475,342,3,6
1477630800,0,TOR,East,Atlantic,1,1000,1000,1000,1,1,CLE,East,Central,2,1000,1000,0,1,1
1478062800,0,NY,East,Atlantic,1,333,0,1000,1,1,HOU,West,Southwest,1,500,666,333,2,2
1480140000,1,CHA,East,Southeast,0,533,600,500,1,4,NY,East,Atlantic,0,533,500,166,4,6
1481522400,1,LAC,West,Pacific,2,708,800,666,3,5,POR,West,Northwest,2,480,500,357,2,4
1479880800,0,PHI,East,Atlantic,2,285,333,444,3,4,MEM,West,Southwest,2,642,700,571,5,7
1483509600,1,CHA,East,Southeast,1,542,520,611,2,5,OKC,West,Northwest,2,600,578,500,3,6
1485410400,1,OKC,West,Northwest,1,586,571,714,3,6,DAL,West,Southwest,0,355,344,260,3,5
1486188000,1,MIA,East,Southeast,3,400,392,480,5,9,PHI,East,Atlantic,1,367,407,272,1,5
1486792800,0,UTA,West,Northwest,2,629,588,678,4,6,BOS,East,Atlantic,1,641,718,576,4,8
1487224800,1,CHI,East,Central,2,482,529,592,2,4,BOS,East,Atlantic,1,660,727,607,4,9
1480485600,1,TOR,East,Atlantic,2,647,777,625,3,6,MEM,West,Southwest,1,611,700,666,3,7
1481436000,0,LAL,West,Pacific,1,400,333,500,0,2,NY,East,Atlantic,1,565,461,400,4,7
1482213600,0,HOU,West,Southwest,3,750,789,833,5,10,SA,West,Southwest,2,814,800,933,4,8
1486965600,0,BKN,East,Atlantic,3,166,85,241,0,0,MEM,West,Southwest,2,589,666,535,3,7
1489298400,1,IND,East,Central,1,507,461,687,2,4,MIA,East,Southeast,3,484,512,411,4,8
1490763600,0,NY,East,Atlantic,2,378,422,485,1,2,MIA,East,Southeast,1,486,488,405,2,6
1491109200,1,TOR,East,Atlantic,1,605,630,666,4,8,PHI,East,Atlantic,1,368,413,282,2,4
1491195600,1,MIN,West,Northwest,2,400,377,487,2,3,POR,West,Northwest,2,500,543,410,5,9
1478235600,0,BKN,East,Atlantic,2,400,400,666,2,2,CHA,East,Southeast,2,750,750,1000,3,3
1479448800,1,NO,West,Southwest,2,166,0,166,2,2,POR,West,Northwest,1,538,583,500,2,5
1480140000,1,OKC,West,Northwest,0,529,600,600,2,3,DET,East,Central,1,470,444,125,2,4
1480917600,0,CHI,East,Central,1,578,666,714,2,6,POR,West,Northwest,1,523,533,400,3,4
1483077600,1,BOS,East,Atlantic,0,575,700,538,3,6,MIA,East,Southeast,1,303,263,312,1,3
1484719200,1,GS,West,Pacific,2,853,814,863,4,8,OKC,West,Northwest,2,581,560,454,3,5
1484719200,0,SAC,West,Pacific,3,400,440,400,1,3,IND,East,Central,2,525,520,263,4,6
1486360800,0,ATL,East,Southeast,2,588,666,600,3,6,UTA,West,Northwest,1,627,593,565,3,7
1488607200,0,DEN,West,Northwest,3,459,421,533,3,5,CHA,East,Southeast,2,426,444,312,2,3
1491714000,0,NY,East,Atlantic,1,375,420,461,2,3,TOR,East,Atlantic,1,612,640,538,4,8
1491800400,1,LAC,West,Pacific,2,612,580,692,5,8,HOU,West,Southwest,1,675,700,625,3,6
1478844000,1,POR,West,Northwest,1,555,555,500,3,5,SAC,West,Pacific,0,400,600,333,2,4
1481868000,0,TOR,East,Atlantic,2,720,785,714,4,9,ATL,East,Southeast,3,480,625,384,2,2
1482213600,0,MEM,West,Southwest,2,620,687,647,2,7,BOS,East,Atlantic,2,555,705,562,2,5
1486101600,1,BOS,East,Atlantic,2,632,718,680,5,7,LAL,West,Pacific,1,326,281,185,1,2
1486360800,0,SAC,West,Pacific,2,392,413,391,2,4,CHI,East,Central,3,490,515,400,2,5
